id,file,date,origin,source_url,repo,ai_model,temperature,top_p,actors,num_of_participats,title,num_of_alt,num_of_opt,num_of_loop
1,seq\00001_seq.puml,2024-08-09,github,https://raw.githubusercontent.com/openshift/lightspeed-service/c790838527bee3dead2842cbe466b1e77f4c4d20/docs/sequence_diagram.uml,openshift/lightspeed-service,,0,0,1,8,,2,0,0
2,seq\00002_seq.puml,2024-05-17,github,https://raw.githubusercontent.com/madajaju/edgemere/f44013f984ea1b16e738873392526cbc3841ec93/docs/edgemere/diml/cds/usecases/managedata/MoveData.puml,madajaju/edgemere,,0,0,1,3,,0,0,0
3,seq\00003_seq.puml,2018-07-02,github,https://raw.githubusercontent.com/CAADE/fleet/a62d2a82a2100583d84e41ea21efda9512fc4ac7/docs/UseCases/Manage-Clouds/Add-Trigger.puml,CAADE/fleet,,0,0,0,3,,0,0,0
4,seq\00004_seq.puml,2022-10-27,github,https://raw.githubusercontent.com/PacktPublishing/Event-Driven-Architecture-in-Golang/446ec3fdae48f47273a816078cf2f1f74f3380fc/Chapter06/docs/Diagrams/read_after_write.puml,PacktPublishing/Event-Driven-Architecture-in-Golang,,0,0,1,4,,0,0,0
5,seq\00005_seq.puml,2025-01-29,github,https://raw.githubusercontent.com/RyanGolpayegani/US2SD_Benchmark/a011ff8836936584d7d16493addac0c2479f7b24/Benchmark/PUML/1803_Restaurant_Management_System_30.puml,RyanGolpayegani/US2SD_Benchmark,,0,0,1,4,,0,0,0
6,seq\00006_seq.puml,,github,https://raw.githubusercontent.com/Guiigou/SIDIS_2024/223e8973e8abc1a426db9e160adb15e69b2c2625/LibraryAPI/docs_PSOFT/Phase%202/Bonus%20use%20cases_requirements/US30/US30-SD.puml,Guiigou/SIDIS_2024,,0,0,1,5,,0,0,0
7,seq\00007_seq.puml,2023-01-17,github,https://raw.githubusercontent.com/BloomTechBackend/bd-team-project-support-zebra/07db4fa0005e6590d8d44943ef7ec6938180526b/project_documents/SequenceDiagrams/GetMessagesByInboxId.puml,BloomTechBackend/bd-team-project-support-zebra,,0,0,1,4,,0,0,0
8,seq\00008_seq.puml,2024-07-20,github,https://raw.githubusercontent.com/thanhtung8903/nutrimeal/95fb7f01fe772e26ea3b4bf35f230c085e4f0715/sequence_diagram/UC93_ViewListOrderBeingDelivery.puml,thanhtung8903/nutrimeal,,0,0,1,6,,0,0,0
9,seq\00009_seq.puml,2021-08-22,github,https://raw.githubusercontent.com/LightBitsLabs/los-csi/696d566cdcaa8e54bb56fc256dd0c3c6bd6747b8/docs/src/diagrams/provisioning.puml,LightBitsLabs/los-csi,,0,0,2,5,,1,0,0
10,seq\00010_seq.puml,2024-09-15,github,https://raw.githubusercontent.com/dalayLama/otus-microservice-2024-08/4edaf5e8ae53ede2f8729816759b6eb5069bc260/hw-01/use-cases/get-notify-subscription/get-notify-subscription.puml,dalayLama/otus-microservice-2024-08,,0,0,1,5,,1,0,0
11,seq\00011_seq.puml,2022-03-22,github,https://raw.githubusercontent.com/pantherprotocol/panther-core/746ecded459c32815f0cd5ed492bc7ef7f43a31b/docs/advanced-staking.early-exit.puml,pantherprotocol/panther-core,,0,0,1,7,**Advanced Staking: early exit**,0,0,0
12,seq\00012_seq.puml,,github,https://raw.githubusercontent.com/trongend123/HuongSen/e5a28d8e27886956a42350653a6d1bf8f4a8648b/backend/ClassDiagram/Admin/Update%20information%20of%20receptionist.puml,trongend123/HuongSen,,0,0,1,7,,0,0,0
13,seq\00013_seq.puml,2021-03-11,github,https://raw.githubusercontent.com/metno/S-ENDA-documentation/a8c109a440587105509f800429d83657939c1c1e/source/puml/user_analysis/search_air_temp_datasets.puml,metno/S-ENDA-documentation,,0,0,2,3,,0,0,0
14,seq\00014_seq.puml,2025-01-29,github,https://raw.githubusercontent.com/RyanGolpayegani/US2SD_Benchmark/a011ff8836936584d7d16493addac0c2479f7b24/Benchmark/PUML/2408_frictionless_21.puml,RyanGolpayegani/US2SD_Benchmark,,0,0,1,6,,1,0,0
15,seq\00015_seq.puml,2024-11-23,github,https://raw.githubusercontent.com/AwaleSajil/BookMate/02617103a015fcc8ab2f16c2acd8192a63682a9c/diagram/s_uml_update_request.puml,AwaleSajil/BookMate,,0,0,1,4,,0,0,0
