id,file,date,origin,source_url,repo,ai_model,temperature,top_p,title,actors,num_of_steps,num_of_alt_scenarions,num_of_err_scenarions
1,uc\00001_uc.xml,2020-12-19,github,https://raw.githubusercontent.com/SAREC-Lab/sUAS-UseCases/refs/heads/SPLC-2020/usecases/main/RiverRescue.md,SAREC-Lab/sUAS-UseCases,,0,0,River Search and Rescue,2,16,1,3
2,uc\00002_uc.xml,2020-12-19,github,https://raw.githubusercontent.com/SAREC-Lab/sUAS-UseCases/refs/heads/SPLC-2020/usecases/main/ItemDelivery.md,SAREC-Lab/sUAS-UseCases,,0,0,Deliver item to a specific location,3,9,2,1
3,uc\00003_uc.xml,2020-12-19,github,https://raw.githubusercontent.com/SAREC-Lab/sUAS-UseCases/refs/heads/SPLC-2020/usecases/main/AccidentSurveillance.md,SAREC-Lab/sUAS-UseCases,,0,0,Provide surveillance and information about a traffic accident,5,13,0,2
4,uc\00004_uc.xml,2020-12-19,github,https://raw.githubusercontent.com/SAREC-Lab/sUAS-UseCases/refs/heads/SPLC-2020/usecases/main/StructuralFire.md,SAREC-Lab/sUAS-UseCases,,0,0,Structural Fire Fighting,2,10,0,1
5,uc\00005_uc.xml,2020-12-19,github,https://raw.githubusercontent.com/SAREC-Lab/sUAS-UseCases/refs/heads/SPLC-2020/usecases/main/EnvironmentalSampling.md,SAREC-Lab/sUAS-UseCases,,0,0,Environmental Sampling and Analysis,2,10,0,0
6,uc\00006_uc.xml,2020-12-19,github,https://raw.githubusercontent.com/SAREC-Lab/sUAS-UseCases/refs/heads/SPLC-2020/usecases/supporting/ActivateAndArm.md,SAREC-Lab/sUAS-UseCases,,0,0,Activate and Arm,2,7,0,2
7,uc\00007_uc.xml,2020-12-19,github,https://raw.githubusercontent.com/SAREC-Lab/sUAS-UseCases/refs/heads/SPLC-2020/usecases/supporting/ActiveTracking.md,SAREC-Lab/sUAS-UseCases,,0,0,Active Tracking,2,6,0,1
8,uc\00008_uc.xml,2020-12-19,github,https://raw.githubusercontent.com/SAREC-Lab/sUAS-UseCases/refs/heads/SPLC-2020/usecases/supporting/AreaFlightRouteCoverage.md,SAREC-Lab/sUAS-UseCases,,0,0,Generate Flight Routes for Area Coverage,2,7,1,3
9,uc\00009_uc.xml,2020-12-19,github,https://raw.githubusercontent.com/SAREC-Lab/sUAS-UseCases/refs/heads/SPLC-2020/usecases/supporting/CollectAndAnalyseSample.md,SAREC-Lab/sUAS-UseCases,,0,0,Collect Environmental Sample,2,10,2,1
10,uc\00010_uc.xml,2020-12-19,github,https://raw.githubusercontent.com/SAREC-Lab/sUAS-UseCases/refs/heads/SPLC-2020/usecases/supporting/EndMission.md,SAREC-Lab/sUAS-UseCases,,0,0,End Mission,2,6,2,1
11,uc\00011_uc.xml,2020-12-19,github,https://raw.githubusercontent.com/SAREC-Lab/sUAS-UseCases/refs/heads/SPLC-2020/usecases/supporting/FlightAuthorization.md,SAREC-Lab/sUAS-UseCases,,0,0,Flight authorization from Aviation Regulators,2,7,0,5
12,uc\00012_uc.xml,2020-12-19,github,https://raw.githubusercontent.com/SAREC-Lab/sUAS-UseCases/refs/heads/SPLC-2020/usecases/supporting/FlyToDestination.md,SAREC-Lab/sUAS-UseCases,,0,0,Fly to Destination,2,12,0,4
13,uc\00013_uc.xml,2020-12-19,github,https://raw.githubusercontent.com/SAREC-Lab/sUAS-UseCases/refs/heads/SPLC-2020/usecases/supporting/ImageCaptureAndAnalysis.md,SAREC-Lab/sUAS-UseCases,,0,0,Image Capture and Analysis,3,6,0,1
14,uc\00014_uc.xml,2020-12-19,github,https://raw.githubusercontent.com/SAREC-Lab/sUAS-UseCases/refs/heads/SPLC-2020/usecases/supporting/ItemDrop.md,SAREC-Lab/sUAS-UseCases,,0,0,Item Drop,2,10,0,3
15,uc\00015_uc.xml,2020-12-19,github,https://raw.githubusercontent.com/SAREC-Lab/sUAS-UseCases/refs/heads/SPLC-2020/usecases/supporting/LeaseAirspace.md,SAREC-Lab/sUAS-UseCases,,0,0,Lease Airspace for Planned Flight Path,2,7,0,1
16,uc\00016_uc.xml,2020-12-19,github,https://raw.githubusercontent.com/SAREC-Lab/sUAS-UseCases/refs/heads/SPLC-2020/usecases/supporting/SynchronizedTakeoff.md,SAREC-Lab/sUAS-UseCases,,0,0,Synchronized Takeoff,2,5,0,4
17,uc\00017_uc.xml,2020-12-19,github,https://raw.githubusercontent.com/SAREC-Lab/sUAS-UseCases/refs/heads/SPLC-2020/usecases/supporting/VictimConfirmation.md,SAREC-Lab/sUAS-UseCases,,0,0,Victim Confirmation,2,6,0,3
18,uc\00018_uc.xml,2020-12-19,github,https://raw.githubusercontent.com/SAREC-Lab/sUAS-UseCases/refs/heads/SPLC-2020/usecases/general_exceptions/LossOfSignal.md,SAREC-Lab/sUAS-UseCases,,0,0,Loss of Signal,4,9,0,3
19,uc\00019_uc.xml,2020-12-19,github,https://raw.githubusercontent.com/SAREC-Lab/sUAS-UseCases/refs/heads/SPLC-2020/usecases/general_exceptions/GeofenceIncursion.md,SAREC-Lab/sUAS-UseCases,,0,0,Geofence Incursion,3,12,0,2
20,uc\00020_uc.xml,2020-12-19,github,https://raw.githubusercontent.com/SAREC-Lab/sUAS-UseCases/refs/heads/SPLC-2020/usecases/general_exceptions/LowBattery.md,SAREC-Lab/sUAS-UseCases,,0,0,Low Battery,4,8,0,2
1,uc_gen\00001_uc_gen.xml,2025-04-28,chatgpt,,,gpt-3.5-turbo-0125,0.6,1,Question and Answer,8,12,0,0
2,uc_gen\00002_uc_gen.xml,2025-04-28,chatgpt,,,gpt-3.5-turbo-0125,1,0.2,Answer Generation,8,15,0,0
3,uc_gen\00003_uc_gen.xml,2025-04-28,chatgpt,,,gpt-3.5-turbo-0125,0.8,1,Question and Answer Processing,8,15,0,0
4,uc_gen\00004_uc_gen.xml,2025-04-28,chatgpt,,,gpt-3.5-turbo-0125,1,0.4,Answer Generation,8,15,0,0
5,uc_gen\00005_uc_gen.xml,2025-04-28,chatgpt,,,gpt-3.5-turbo-0125,1.0,1,Question Validation and Answer Generation,8,13,0,0
6,uc_gen\00006_uc_gen.xml,2025-04-28,chatgpt,,,gpt-3.5-turbo-0125,1,0.6,OpenShift LightSpeed Service,8,10,0,0
7,uc_gen\00007_uc_gen.xml,2025-04-28,chatgpt,,,gpt-3.5-turbo-0125,1,0.8,Question Answering,8,13,0,0
8,uc_gen\00008_uc_gen.xml,2025-04-28,chatgpt,,,gpt-3.5-turbo-0125,1,1,OpenShift LightSpeed Service,8,11,0,0
9,uc_gen\00009_uc_gen.xml,2025-04-28,chatgpt,,,gpt-3.5-turbo-0125,0.6,1,Move Specific Data,1,5,0,0
10,uc_gen\00010_uc_gen.xml,2025-04-28,chatgpt,,,gpt-3.5-turbo-0125,0.8,1,Data Movement,1,4,0,0
11,uc_gen\00011_uc_gen.xml,2025-04-28,chatgpt,,,gpt-3.5-turbo-0125,1,0.4,Move Specific Data,1,3,0,0
12,uc_gen\00012_uc_gen.xml,2025-04-28,chatgpt,,,gpt-3.5-turbo-0125,1.0,1,Move Specific Data,1,3,0,0
13,uc_gen\00013_uc_gen.xml,2025-04-28,chatgpt,,,gpt-3.5-turbo-0125,1,0.6,Move Specific Data,1,3,0,0
14,uc_gen\00014_uc_gen.xml,2025-04-28,chatgpt,,,gpt-3.5-turbo-0125,1.2,1,Move Specific Data,1,3,0,0
15,uc_gen\00015_uc_gen.xml,2025-04-28,chatgpt,,,gpt-3.5-turbo-0125,1,0.8,Move Specific Data,1,3,0,0
16,uc_gen\00016_uc_gen.xml,2025-04-28,chatgpt,,,gpt-3.5-turbo-0125,1.4,1,Data Transfer,1,3,0,0
17,uc_gen\00017_uc_gen.xml,2025-04-28,chatgpt,,,gpt-3.5-turbo-0125,1,1,Move Specific Data,1,2,0,0
18,uc_gen\00018_uc_gen.xml,2025-04-28,chatgpt,,,gpt-3.5-turbo-0125,0.6,1,Manage Clouds,1,5,0,0
19,uc_gen\00019_uc_gen.xml,2025-04-28,chatgpt,,,gpt-3.5-turbo-0125,1,0.2,Manage Clouds,1,4,0,0
20,uc_gen\00020_uc_gen.xml,2025-04-28,chatgpt,,,gpt-3.5-turbo-0125,0.8,1,Manage-Clouds,1,4,0,0
21,uc_gen\00021_uc_gen.xml,2025-04-28,chatgpt,,,gpt-3.5-turbo-0125,1,0.4,Manage Clouds,1,3,0,0
22,uc_gen\00022_uc_gen.xml,2025-04-28,chatgpt,,,gpt-3.5-turbo-0125,1.0,1,Manage Clouds,1,3,0,0
23,uc_gen\00023_uc_gen.xml,2025-04-28,chatgpt,,,gpt-3.5-turbo-0125,1,0.6,Manage Clouds,1,4,0,0
24,uc_gen\00024_uc_gen.xml,2025-04-28,chatgpt,,,gpt-3.5-turbo-0125,1.2,1,Manage-Clouds,1,3,0,0
25,uc_gen\00025_uc_gen.xml,2025-04-28,chatgpt,,,gpt-3.5-turbo-0125,1,0.8,Manage Clouds,1,4,0,0
26,uc_gen\00026_uc_gen.xml,2025-04-28,chatgpt,,,gpt-3.5-turbo-0125,1.4,1,Automate Cloud Fleet Management,1,3,0,0
27,uc_gen\00027_uc_gen.xml,2025-04-28,chatgpt,,,gpt-3.5-turbo-0125,1,1,Manage Clouds,1,3,0,0
28,uc_gen\00028_uc_gen.xml,2025-04-28,chatgpt,,,gpt-3.5-turbo-0125,0.6,1,Update User Profile,4,8,0,0
29,uc_gen\00029_uc_gen.xml,2025-04-28,chatgpt,,,gpt-3.5-turbo-0125,1,0.2,Update Profile,4,9,0,0
30,uc_gen\00030_uc_gen.xml,2025-04-28,chatgpt,,,gpt-3.5-turbo-0125,1,0.4,Update Profile,4,9,0,0
31,uc_gen\00031_uc_gen.xml,2025-04-28,chatgpt,,,gpt-3.5-turbo-0125,1.0,1,Update User Profile,4,9,0,0
32,uc_gen\00032_uc_gen.xml,2025-04-28,chatgpt,,,gpt-3.5-turbo-0125,1,0.6,Update User Profile,4,9,0,0
33,uc_gen\00033_uc_gen.xml,2025-04-28,chatgpt,,,gpt-3.5-turbo-0125,1.2,1,Update User Profile,4,8,0,0
34,uc_gen\00034_uc_gen.xml,2025-04-28,chatgpt,,,gpt-3.5-turbo-0125,1,0.8,Update User Profile,4,8,0,0
35,uc_gen\00035_uc_gen.xml,2025-04-28,chatgpt,,,gpt-3.5-turbo-0125,1.4,1,Update Profile,1,2,0,0
36,uc_gen\00036_uc_gen.xml,2025-04-28,chatgpt,,,gpt-3.5-turbo-0125,1,1,Update Profile,3,7,0,0
