1. Update bullet position.
2. Check for collision between bullet and balloon.
3. Explode if collision detected.
4. Handle bullet collision with balloon.
5. Handle bullet collision with balloon.
6. Handle bullet collision with balloon.
7. Handle bullet collision with balloon.
8. Handle bullet collision with balloon.
9. Handle bullet collision with balloon.
10. Handle bullet collision with balloon.
11. Handle bullet collision with balloon.
12. Handle bullet collision with balloon.
13. Handle bullet collision with balloon.
14. Handle bullet collision with balloon.
15. Handle bullet collision with balloon.
16. Handle bullet collision with balloon.
17. Handle bullet collision with balloon.
18. Handle bullet collision with balloon.
19. Handle bullet collision with balloon.
20. Handle bullet collision with balloon.
21. Handle bullet collision with balloon.
22. Handle bullet collision with balloon.
23. Handle bullet collision with balloon.
24. Handle bullet collision with balloon.
25. Handle bullet collision with balloon.
26. Handle bullet collision with balloon.
27. Handle bullet collision with balloon.
28. Handle bullet collision with balloon.
29. Handle bullet collision with balloon.
30. Handle bullet collision with balloon.
31. Handle bullet collision with balloon.
32. Handle bullet collision with balloon.
33. Handle bullet collision with balloon.
34. Handle bullet collision with balloon.
35. Handle bullet collision with balloon.
36. Handle bullet collision with balloon.
37. Handle bullet collision with balloon.
38. Handle bullet collision with balloon.
39. Handle bullet collision with balloon.
40. Handle bullet collision with balloon.
41. Handle bullet collision with balloon.
42. Handle bullet collision with balloon.
43. Handle bullet collision with balloon.
44. Handle bullet collision with balloon.
45. Handle bullet collision with balloon.
46. Handle bullet collision with balloon.
47. Handle bullet collision with balloon.
48. Handle bullet collision with balloon.
49. Handle bullet collision with balloon.
50. Handle bullet collision with balloon.
