Repo_Name,GitHub URL,Total number of UML files,No. of .uml,No. of .xmi,No. of .svg,No. of .png,No. of .jpeg,No. of .bmp,No. of .jpg,No. of .gif,Status,New location
eclipse/emf.compare/,https://github.com/eclipse/emf.compare/,6098,6097,0,0,1,0,0,0,0,404,
PublicMapping/publicmapping.github.com/,https://github.com/PublicMapping/publicmapping.github.com/,766,0,0,0,0,0,0,0,766,301,https://github.com/PublicMapping/districtbuilder-website
appirio-tech/topcoder-UML-Tool/,https://github.com/appirio-tech/topcoder-UML-Tool/,470,1,49,0,4,0,0,2,414,301,https://github.com/topcoder-platform/topcoder-UML-Tool
kinfkong/mytcuml/,https://github.com/kinfkong/mytcuml/,464,1,49,0,2,0,0,2,410,200,
javipalanca/spade-doc/,https://github.com/javipalanca/spade-doc/,449,0,0,0,0,0,0,0,449,404,
javipalanca/spade/,https://github.com/javipalanca/spade/,449,0,0,0,0,0,0,0,449,200,
sambea/PL-BrasRobotique1-2014/,https://github.com/sambea/PL-BrasRobotique1-2014/,430,1,0,0,0,0,0,0,429,200,
Open-MBEE/Comodo/,https://github.com/Open-MBEE/Comodo/,416,416,0,0,0,0,0,0,0,200,
GRA-UML/tool/,https://github.com/GRA-UML/tool/,364,259,105,0,0,0,0,0,0,200,
artist-project/ARTIST/,https://github.com/artist-project/ARTIST/,348,336,2,0,10,0,0,0,0,200,
hfeeki/djiaoshoujia-lib/,https://github.com/hfeeki/djiaoshoujia-lib/,346,0,0,0,346,0,0,0,0,200,
mozilla/affiliates-lib/,https://github.com/mozilla/affiliates-lib/,346,0,0,0,346,0,0,0,0,200,
mozilla/lumbergh-lib/,https://github.com/mozilla/lumbergh-lib/,346,0,0,0,346,0,0,0,0,200,
mozilla/mozillians-lib/,https://github.com/mozilla/mozillians-lib/,346,0,0,0,346,0,0,0,0,200,
mozilla/playdoh-lib/,https://github.com/mozilla/playdoh-lib/,346,0,0,0,346,0,0,0,0,200,
mozilla/spark-lib/,https://github.com/mozilla/spark-lib/,346,0,0,0,346,0,0,0,0,200,
rtucker-mozilla/mozilla_inventory_lib/,https://github.com/rtucker-mozilla/mozilla_inventory_lib/,346,0,0,0,346,0,0,0,0,200,
mozilla/webtools-workermgmt-lib/,https://github.com/mozilla/webtools-workermgmt-lib/,345,0,0,0,345,0,0,0,0,200,
mozilla/webowonder-lib/,https://github.com/mozilla/webowonder-lib/,338,0,0,0,338,0,0,0,0,200,
mcubillos/pliniancore/,https://github.com/mcubillos/pliniancore/,317,0,0,0,317,0,0,0,0,200,
mozilla/input-lib/,https://github.com/mozilla/input-lib/,315,0,0,0,315,0,0,0,0,200,
mozilla/kuma-lib/,https://github.com/mozilla/kuma-lib/,315,0,0,0,315,0,0,0,0,200,
mozilla/markup-lib/,https://github.com/mozilla/markup-lib/,315,0,0,0,315,0,0,0,0,200,
mdht/mdht-models/,https://github.com/mdht/mdht-models/,252,252,0,0,0,0,0,0,0,200,
houkensjtu/interFOAM/,https://github.com/houkensjtu/interFOAM/,228,0,0,0,0,0,0,0,228,200,
aaps/stardog/,https://github.com/aaps/stardog/,224,0,0,0,0,0,0,0,224,200,
BackupTheBerlios/cuon-svn/,https://github.com/BackupTheBerlios/cuon-svn/,224,0,0,0,0,0,0,0,224,200,
CuonDeveloper/cuon/,https://github.com/CuonDeveloper/cuon/,224,0,0,0,0,0,0,0,224,404,
